,Value
2018-11-05,100000000.0
2018-11-06,101514768.84895058
2018-11-07,101341226.56077859
2018-11-09,102044082.69603725
2018-11-12,98174020.45310013
2018-11-13,98174020.45310013
2018-11-14,98174020.45310013
2018-11-15,98174020.45310013
2018-11-16,98174020.45310013
2018-11-19,98174020.45310013
2018-11-20,98174020.45310013
2018-11-21,98174020.45310013
2018-11-22,98174020.45310013
2018-11-26,98174020.45310013
2018-11-27,98174020.45310013
2018-11-28,98174020.45310013
2018-11-29,98174020.45310013
2018-11-30,98174020.45310013
2018-12-03,98174020.45310013
2018-12-04,98174020.45310013
2018-12-05,98174020.45310013
2018-12-06,98174020.45310013
2018-12-07,98174020.45310013
2018-12-10,98174020.45310013
2018-12-11,98174020.45310013
2018-12-12,98174020.45310013
2018-12-13,98174020.45310013
2018-12-14,98174020.45310013
2018-12-17,98174040.45310013
2018-12-18,99749688.20193918
2018-12-19,99265600.53440286
2018-12-20,99749685.15128493
2018-12-21,100974135.20047481
2018-12-24,99066273.71561109
2018-12-26,96949594.72312418
2018-12-27,96693297.58329557
2018-12-28,96693297.58329557
2018-12-31,96693317.58329557
2019-01-01,96805241.61675984
2019-01-02,94818567.67019615
2019-01-03,94818567.67019615
2019-01-04,94818567.67019615
2019-01-07,94818587.67019615
2019-01-08,96582652.77053069
2019-01-09,98436725.38134894
2019-01-10,100110787.44342972
2019-01-11,98544728.15280315
2019-01-14,100470805.57217008
2019-01-15,99435766.44939297
2019-01-16,100236790.9348172
2019-01-17,100011779.73369867
2019-01-18,99048746.65823501
2019-01-21,98481727.53942315
2019-01-22,96897666.86962108
2019-01-23,97473666.67243822
2019-01-24,97473666.67243822
2019-01-25,97473666.67243822
2019-01-28,97473666.67243822
2019-01-29,97473666.67243822
2019-01-30,97473666.67243822
2019-01-31,97473686.67243822
2019-02-01,98590964.01455829
2019-02-04,97698941.96220116
2019-02-05,95806752.91853489
2019-02-06,95806772.91853489
2019-02-07,98862608.41383831
2019-02-08,80337713.04302734
2019-02-11,80337713.04302734
2019-02-12,80337713.04302734
2019-02-14,80337713.04302734
2019-02-15,80337713.04302734
2019-02-18,80337713.04302734
2019-02-19,80337713.04302734
2019-02-20,80337713.04302734
2019-02-21,80337733.04302734
2019-02-22,82253183.93010212
2019-02-25,83731499.79306534
2019-02-26,85615158.80957447
2019-02-27,85766172.63125737
2019-02-28,85138279.10383068
2019-03-01,86099982.10631266
2019-03-05,91210501.94152346
2019-03-06,90916427.23404808
2019-03-07,90693891.97659935
2019-03-08,87292171.84661625
2019-03-11,87029895.98017448
2019-03-12,88118759.30354424
2019-03-13,86950407.78514524
2019-03-14,85782044.35246618
2019-03-15,85782044.35246618
2019-03-18,85782044.35246618
2019-03-19,85782064.35246618
2019-03-20,85022975.21651974
2019-03-22,85022975.21651974
2019-03-25,85022975.21651974
2019-03-26,85022975.21651974
2019-03-27,85022975.21651974
2019-03-28,85022975.21651974
2019-04-01,85022995.21651974
2019-04-02,91045034.19397818
2019-04-03,93633594.53320788
2019-04-04,94340264.40184303
2019-04-05,94778088.28484201
2019-04-08,93211130.32108377
2019-04-09,93963880.67937946
2019-04-10,98173174.42618412
2019-04-11,99962887.11672364
2019-04-12,99847668.3692771
2019-04-15,104794349.81014135
2019-04-16,106038698.35111399
2019-04-18,108481321.02381846
2019-04-22,108442914.65629242
2019-04-23,107190876.60946214
2019-04-24,103565359.64002681
2019-04-25,102620577.69483986
2019-04-26,100085763.55505283
2019-04-30,100085763.55505283
2019-05-02,100085763.55505283
2019-05-03,100085763.55505283
2019-05-06,100085763.55505283
2019-05-07,100085763.55505283
2019-05-08,100085763.55505283
2019-05-09,100085763.55505283
2019-05-10,100085763.55505283
2019-05-13,100085763.55505283
2019-05-14,100085763.55505283
2019-05-15,100085763.55505283
2019-05-16,100085763.55505283
2019-05-17,100085763.55505283
2019-05-20,100085763.55505283
2019-05-21,100085763.55505283
2019-05-22,100085763.55505283
2019-05-23,100085763.55505283
2019-05-24,100085763.55505283
2019-05-27,100085763.55505283
2019-05-28,100085763.55505283
2019-05-29,100085763.55505283
2019-05-30,100085763.55505283
2019-05-31,100085763.55505283
2019-06-03,100085763.55505283
2019-06-04,100085763.55505283
2019-06-06,100085763.55505283
2019-06-07,100085763.55505283
2019-06-10,100085763.55505283
2019-06-11,100085763.55505283
2019-06-12,100085763.55505283
2019-06-13,100085763.55505283
2019-06-14,100085763.55505283
2019-06-17,100085763.55505283
2019-06-18,100085763.55505283
2019-06-19,100085763.55505283
2019-06-20,100085763.55505283
2019-06-21,100085763.55505283
2019-06-24,100085763.55505283
2019-06-25,100085763.55505283
2019-06-26,100085763.55505283
2019-06-27,100085783.55505283
2019-06-28,99216264.62680139
2019-07-01,101228296.41070926
2019-07-02,99580253.57847661
2019-07-03,98882610.70787035
2019-07-04,100085787.64635465
2019-07-05,98407390.41612709
2019-07-08,98407390.41612709
2019-07-09,98407390.41612709
2019-07-10,98407390.41612709
2019-07-11,98407390.41612709
2019-07-12,98407390.41612709
2019-07-15,98407410.41612709
2019-07-16,102209604.1041339
2019-07-17,103548554.2539965
2019-07-18,99756578.22721826
2019-07-19,96301871.27051158
2019-07-22,96301871.27051158
2019-07-23,96301871.27051158
2019-07-24,96301871.27051158
2019-07-25,96301871.27051158
2019-07-26,96301871.27051158
2019-07-29,96301871.27051158
2019-07-30,96301871.27051158
2019-07-31,96301871.27051158
2019-08-01,96301871.27051158
2019-08-02,96301871.27051158
2019-08-05,96301871.27051158
2019-08-06,96301871.27051158
